GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
June,Qtr 2,2020,8
July,Qtr 3,2020,7
August,Qtr 3,2020,5
September,Qtr 3,2020,5
October,Qtr 4,2020,3
November,Qtr 4,2020,9
December,Qtr 4,2020,7
January,Qtr 1,2021,4
February,Qtr 1,2021,8
March,Qtr 1,2021,7
April,Qtr 2,2021,4
May,Qtr 2,2021,1
June,Qtr 2,2021,4
July,Qtr 3,2021,5
August,Qtr 3,2021,7
September,Qtr 3,2021,0
October,Qtr 4,2021,9
November,Qtr 4,2021,8
December,Qtr 4,2021,2
January,Qtr 1,2022,2
February,Qtr 1,2022,8
March,Qtr 1,2022,3
April,Qtr 2,2022,8
May,Qtr 2,2022,8
June,Qtr 2,2022,6
July,Qtr 3,2022,4
August,Qtr 3,2022,2
September,Qtr 3,2022,1
October,Qtr 4,2022,9
November,Qtr 4,2022,8
December,Qtr 4,2022,6
January,Qtr 1,2023,8
February,Qtr 1,2023,0
March,Qtr 1,2023,4
April,Qtr 2,2023,9
May,Qtr 2,2023,8
June,Qtr 2,2023,2
July,Qtr 3,2023,7363.87
August,Qtr 3,2023,6366.32
September,Qtr 3,2023,1411.92
October,Qtr 4,2023,5874.92
November,Qtr 4,2023,8625.71
December,Qtr 4,2023,3487
January,Qtr 1,2024,5023.51
February,Qtr 1,2024,1542.54
March,Qtr 1,2024,1479.56
April,Qtr 2,2024,9044.82
May,Qtr 2,2024,6704.33
June,Qtr 2,2024,6359.25
July,Qtr 3,2024,7012.58
August,Qtr 3,2024,7889.3
September,Qtr 3,2024,255.19
October,Qtr 4,2024,8849.17
November,Qtr 4,2024,3619.39
December,Qtr 4,2024,7574.27
January,Qtr 1,2020,6
February,Qtr 1,2020,8
March,Qtr 1,2020,8
April,Qtr 2,2020,1
May,Qtr 2,2020,8
June,Qtr 2,2020,4
July,Qtr 3,2020,4
August,Qtr 3,2020,0
September,Qtr 3,2020,0
October,Qtr 4,2020,7
November,Qtr 4,2020,9
December,Qtr 4,2020,8
January,Qtr 1,2021,9
February,Qtr 1,2021,7
March,Qtr 1,2021,4
April,Qtr 2,2021,6
May,Qtr 2,2021,5
June,Qtr 2,2021,3
July,Qtr 3,2021,5
August,Qtr 3,2021,5
September,Qtr 3,2021,0
October,Qtr 4,2021,3
November,Qtr 4,2021,3
December,Qtr 4,2021,8
January,Qtr 1,2022,1
February,Qtr 1,2022,4
March,Qtr 1,2022,0
April,Qtr 2,2022,7
May,Qtr 2,2022,4
June,Qtr 2,2022,2
July,Qtr 3,2022,5
August,Qtr 3,2022,4038.3
September,Qtr 3,2022,6793
October,Qtr 4,2022,6365.6
November,Qtr 4,2022,6357.9
December,Qtr 4,2022,823.7
January,Qtr 1,2023,664
February,Qtr 1,2023,891.5
March,Qtr 1,2023,4154.6
April,Qtr 2,2023,178
May,Qtr 2,2023,1950.2
June,Qtr 2,2023,9664.5
July,Qtr 3,2023,7496.6
August,Qtr 3,2023,1646.4
September,Qtr 3,2023,587
October,Qtr 4,2023,8644.3
November,Qtr 4,2023,4895
December,Qtr 4,2023,3154
January,Qtr 1,2024,3231
February,Qtr 1,2024,1787
March,Qtr 1,2024,142.7
April,Qtr 2,2024,5922.3
May,Qtr 2,2024,5493.4
June,Qtr 2,2024,9473.6
July,Qtr 3,2024,6001.8
August,Qtr 3,2024,9077.6
September,Qtr 3,2024,2693.4
October,Qtr 4,2024,4870.6
November,Qtr 4,2024,6913.4
December,Qtr 4,2024,5915.6
January,Qtr 1,2020,2
February,Qtr 1,2020,0
March,Qtr 1,2020,3
April,Qtr 2,2020,1
May,Qtr 2,2020,7
June,Qtr 2,2020,1
July,Qtr 3,2020,1
August,Qtr 3,2020,3
September,Qtr 3,2020,5
October,Qtr 4,2020,3
November,Qtr 4,2020,0
December,Qtr 4,2020,9
January,Qtr 1,2021,0
February,Qtr 1,2021,9
March,Qtr 1,2021,3
April,Qtr 2,2021,4
May,Qtr 2,2021,2
June,Qtr 2,2021,9
July,Qtr 3,2021,0
August,Qtr 3,2021,9
September,Qtr 3,2021,3
October,Qtr 4,2021,7
November,Qtr 4,2021,5
December,Qtr 4,2021,7
January,Qtr 1,2022,3
February,Qtr 1,2022,28836.44
March,Qtr 1,2022,77714.76
April,Qtr 2,2022,81209.13
May,Qtr 2,2022,79774.84
June,Qtr 2,2022,31995.96
July,Qtr 3,2022,796967.23
August,Qtr 3,2022,154842.48
September,Qtr 3,2022,988838.39
October,Qtr 4,2022,50882.9
November,Qtr 4,2022,188825.57
December,Qtr 4,2022,726862.36
January,Qtr 1,2023,852007.985
February,Qtr 1,2023,866477.42
March,Qtr 1,2023,441562.13
April,Qtr 2,2023,460132.53
May,Qtr 2,2023,73041.96
June,Qtr 2,2023,883585.02
July,Qtr 3,2023,612524.35
August,Qtr 3,2023,837044.12
September,Qtr 3,2023,639946.24
October,Qtr 4,2023,14685.75
November,Qtr 4,2023,608114.61
December,Qtr 4,2023,7672.01
January,Qtr 1,2024,818103
February,Qtr 1,2024,653866.64
March,Qtr 1,2024,482453.54
April,Qtr 2,2024,190942
May,Qtr 2,2024,630146.31
June,Qtr 2,2024,96109.26
July,Qtr 3,2024,460737.1
August,Qtr 3,2024,227276.25
September,Qtr 3,2024,637504.8
October,Qtr 4,2024,132816.86
November,Qtr 4,2024,866770.14
December,Qtr 4,2024,580254.79
January,Qtr 1,2020,8
February,Qtr 1,2020,3
March,Qtr 1,2020,3
April,Qtr 2,2020,5
May,Qtr 2,2020,0
June,Qtr 2,2020,1
July,Qtr 3,2020,9
August,Qtr 3,2020,1
September,Qtr 3,2020,7
October,Qtr 4,2020,5
November,Qtr 4,2020,8
December,Qtr 4,2020,0
January,Qtr 1,2021,3
February,Qtr 1,2021,6
March,Qtr 1,2021,2
April,Qtr 2,2021,9
May,Qtr 2,2021,7
June,Qtr 2,2021,7
July,Qtr 3,2021,2
August,Qtr 3,2021,5
September,Qtr 3,2021,3
October,Qtr 4,2021,1
November,Qtr 4,2021,3
December,Qtr 4,2021,1
January,Qtr 1,2022,7
February,Qtr 1,2022,1
March,Qtr 1,2022,8216.9
April,Qtr 2,2022,4984.1
May,Qtr 2,2022,2602.4
June,Qtr 2,2022,17683.04
July,Qtr 3,2022,30611.58
August,Qtr 3,2022,40468.69
September,Qtr 3,2022,32094.43
October,Qtr 4,2022,85438.19
November,Qtr 4,2022,6562.04
December,Qtr 4,2022,937329.66
January,Qtr 1,2023,6027130.659
February,Qtr 1,2023,1819986.04
March,Qtr 1,2023,3006914.41
April,Qtr 2,2023,9886092.16
May,Qtr 2,2023,3487422.18
June,Qtr 2,2023,7158070.69
July,Qtr 3,2023,5372816.25
August,Qtr 3,2023,3259748.58
September,Qtr 3,2023,4484137.59
October,Qtr 4,2023,9107065.27
November,Qtr 4,2023,2339313.93
December,Qtr 4,2023,3346721.82
January,Qtr 1,2024,5619599.9
February,Qtr 1,2024,4008345.99
March,Qtr 1,2024,9340535.33
April,Qtr 2,2024,8395650.19
May,Qtr 2,2024,4314114
June,Qtr 2,2024,9973304.08
July,Qtr 3,2024,6630165.12
August,Qtr 3,2024,806638.33
September,Qtr 3,2024,8374897.01
October,Qtr 4,2024,6362195.37
November,Qtr 4,2024,7670463.06
December,Qtr 4,2024,142834.31
January,Qtr 1,2020,6
February,Qtr 1,2020,1
March,Qtr 1,2020,0
April,Qtr 2,2020,3
May,Qtr 2,2020,6
June,Qtr 2,2020,8
July,Qtr 3,2020,9
August,Qtr 3,2020,3
September,Qtr 3,2020,1
October,Qtr 4,2020,3
November,Qtr 4,2020,2
December,Qtr 4,2020,6
January,Qtr 1,2021,5
February,Qtr 1,2021,1
March,Qtr 1,2021,3
April,Qtr 2,2021,7
May,Qtr 2,2021,8
June,Qtr 2,2021,2
July,Qtr 3,2021,4
August,Qtr 3,2021,4
September,Qtr 3,2021,9
October,Qtr 4,2021,8
November,Qtr 4,2021,9
December,Qtr 4,2021,8
January,Qtr 1,2022,8590.33
February,Qtr 1,2022,16406.71
March,Qtr 1,2022,68057.3
April,Qtr 2,2022,96818.1
May,Qtr 2,2022,12551.37
June,Qtr 2,2022,96635.04
July,Qtr 3,2022,29816.69
August,Qtr 3,2022,31530.81
September,Qtr 3,2022,47227.85
October,Qtr 4,2022,72373.34
November,Qtr 4,2022,92761.25
December,Qtr 4,2022,14971.4
January,Qtr 1,2023,4658.72
February,Qtr 1,2023,13988.08
March,Qtr 1,2023,84993.13
April,Qtr 2,2023,82271.93
May,Qtr 2,2023,93448.73
June,Qtr 2,2023,23862.48
July,Qtr 3,2023,56229.06
August,Qtr 3,2023,21977.45
September,Qtr 3,2023,19081.07
October,Qtr 4,2023,42485.06
November,Qtr 4,2023,6984.36
December,Qtr 4,2023,93227.8
January,Qtr 1,2024,20341.24
February,Qtr 1,2024,4734.49
March,Qtr 1,2024,83627.35
April,Qtr 2,2024,50261.7
May,Qtr 2,2024,9382.9
June,Qtr 2,2024,99096.01
July,Qtr 3,2024,93851.14
August,Qtr 3,2024,25920.86
September,Qtr 3,2024,76836.98
October,Qtr 4,2024,87871.85
November,Qtr 4,2024,26745.54
December,Qtr 4,2024,35812.71
January,Qtr 1,2020,1
February,Qtr 1,2020,2
March,Qtr 1,2020,2
April,Qtr 2,2020,1
May,Qtr 2,2020,1
June,Qtr 2,2020,2
July,Qtr 3,2020,0
August,Qtr 3,2020,5
September,Qtr 3,2020,1
October,Qtr 4,2020,4
November,Qtr 4,2020,1
December,Qtr 4,2020,0
January,Qtr 1,2021,9
February,Qtr 1,2021,7
March,Qtr 1,2021,5
April,Qtr 2,2021,9
May,Qtr 2,2021,3
June,Qtr 2,2021,8
July,Qtr 3,2021,3
August,Qtr 3,2021,9
September,Qtr 3,2021,4
October,Qtr 4,2021,8
November,Qtr 4,2021,9
December,Qtr 4,2021,6
January,Qtr 1,2022,2
February,Qtr 1,2022,48350
March,Qtr 1,2022,351819.28
April,Qtr 2,2022,673695.72
May,Qtr 2,2022,611658.39
June,Qtr 2,2022,883926.7
July,Qtr 3,2022,759464.61
August,Qtr 3,2022,718692.97
September,Qtr 3,2022,2224898.82
October,Qtr 4,2022,7940173.93
November,Qtr 4,2022,9363999.14
December,Qtr 4,2022,9098472.97
January,Qtr 1,2023,2265836.05
February,Qtr 1,2023,4878218.01
March,Qtr 1,2023,8904267.91
April,Qtr 2,2023,8666853.62
May,Qtr 2,2023,5093625.15
June,Qtr 2,2023,438557.96
July,Qtr 3,2023,6151535.93
August,Qtr 3,2023,667944.56
September,Qtr 3,2023,9272515.33
October,Qtr 4,2023,411235.36
November,Qtr 4,2023,7526524.57
December,Qtr 4,2023,230523.92
January,Qtr 1,2024,5380667.13
February,Qtr 1,2024,4345196.63
March,Qtr 1,2024,3519592.14
April,Qtr 2,2024,9323125.26
May,Qtr 2,2024,3377417.17
June,Qtr 2,2024,7967932.97
July,Qtr 3,2024,2682942.84
August,Qtr 3,2024,2761176.85
September,Qtr 3,2024,697010.33
October,Qtr 4,2024,8974624.23
November,Qtr 4,2024,1946561.36
December,Qtr 4,2024,8758147.21
January,Qtr 1,2020,1
February,Qtr 1,2020,4
March,Qtr 1,2020,2
April,Qtr 2,2020,4
May,Qtr 2,2020,4
June,Qtr 2,2020,3
July,Qtr 3,2020,4
August,Qtr 3,2020,2
September,Qtr 3,2020,9
October,Qtr 4,2020,2
November,Qtr 4,2020,6
December,Qtr 4,2020,1
January,Qtr 1,2021,3
February,Qtr 1,2021,2
March,Qtr 1,2021,3
April,Qtr 2,2021,5
May,Qtr 2,2021,1
June,Qtr 2,2021,1
July,Qtr 3,2021,9
August,Qtr 3,2021,0
September,Qtr 3,2021,4
October,Qtr 4,2021,2
November,Qtr 4,2021,8
December,Qtr 4,2021,6
January,Qtr 1,2022,5
February,Qtr 1,2022,8
March,Qtr 1,2022,8
April,Qtr 2,2022,1
May,Qtr 2,2022,8
June,Qtr 2,2022,30817
July,Qtr 3,2022,69319
August,Qtr 3,2022,17518.2
September,Qtr 3,2022,62731.21
October,Qtr 4,2022,87686.69
November,Qtr 4,2022,54014.64
December,Qtr 4,2022,59549.25
January,Qtr 1,2023,6714.1
February,Qtr 1,2023,54834.73
March,Qtr 1,2023,63037.63
April,Qtr 2,2023,21490.58
May,Qtr 2,2023,33010.16
June,Qtr 2,2023,13044.32
July,Qtr 3,2023,56833.4
August,Qtr 3,2023,46163.5
September,Qtr 3,2023,87921.8
October,Qtr 4,2023,55193.1
November,Qtr 4,2023,42539.7
December,Qtr 4,2023,24824
January,Qtr 1,2024,791367
February,Qtr 1,2024,82132.5
March,Qtr 1,2024,95374.5
April,Qtr 2,2024,3533.5
May,Qtr 2,2024,39946.7
June,Qtr 2,2024,71803.7
July,Qtr 3,2024,58926.8
August,Qtr 3,2024,84328.7
September,Qtr 3,2024,40988.4
October,Qtr 4,2024,95393.5
November,Qtr 4,2024,25561.1
December,Qtr 4,2024,92837.3
January,Qtr 1,2020,6
February,Qtr 1,2020,5
March,Qtr 1,2020,8
April,Qtr 2,2020,0
May,Qtr 2,2020,8
June,Qtr 2,2020,3
July,Qtr 3,2020,2
August,Qtr 3,2020,1
September,Qtr 3,2020,0
October,Qtr 4,2020,5
November,Qtr 4,2020,5
December,Qtr 4,2020,3
January,Qtr 1,2021,3
February,Qtr 1,2021,2
March,Qtr 1,2021,2
April,Qtr 2,2021,7
May,Qtr 2,2021,1
June,Qtr 2,2021,1
July,Qtr 3,2021,5
August,Qtr 3,2021,2
September,Qtr 3,2021,4
October,Qtr 4,2021,2
November,Qtr 4,2021,1
December,Qtr 4,2021,6
January,Qtr 1,2022,2
February,Qtr 1,2022,974
March,Qtr 1,2022,737
April,Qtr 2,2022,646
May,Qtr 2,2022,17.08
June,Qtr 2,2022,17960.28
July,Qtr 3,2022,20368.66
August,Qtr 3,2022,46617.66
September,Qtr 3,2022,98424.63
October,Qtr 4,2022,398798.98
November,Qtr 4,2022,648897.97
December,Qtr 4,2022,412864.39
January,Qtr 1,2023,1784946.09
February,Qtr 1,2023,229852.17
March,Qtr 1,2023,519836.44
April,Qtr 2,2023,20424.04
May,Qtr 2,2023,782882.63
June,Qtr 2,2023,748861.49
July,Qtr 3,2023,512090.27
August,Qtr 3,2023,536035.65
September,Qtr 3,2023,868157.8
October,Qtr 4,2023,538549.13
November,Qtr 4,2023,836902.86
December,Qtr 4,2023,938039.92
January,Qtr 1,2024,3598556.06
February,Qtr 1,2024,651338.62
March,Qtr 1,2024,566833.51
April,Qtr 2,2024,674842.59
May,Qtr 2,2024,517520.65
June,Qtr 2,2024,450500.95
July,Qtr 3,2024,39517.24
August,Qtr 3,2024,806231.26
September,Qtr 3,2024,472721.25
October,Qtr 4,2024,860065.98
November,Qtr 4,2024,426633.21
December,Qtr 4,2024,107225.91
January,Qtr 1,2020,2
February,Qtr 1,2020,9
March,Qtr 1,2020,3
April,Qtr 2,2020,4
May,Qtr 2,2020,9
June,Qtr 2,2020,5
July,Qtr 3,2020,3
August,Qtr 3,2020,6
September,Qtr 3,2020,4
October,Qtr 4,2020,0
November,Qtr 4,2020,0
December,Qtr 4,2020,6
January,Qtr 1,2021,6
February,Qtr 1,2021,8
March,Qtr 1,2021,6
April,Qtr 2,2021,1
May,Qtr 2,2021,3
June,Qtr 2,2021,2
July,Qtr 3,2021,0
August,Qtr 3,2021,9
September,Qtr 3,2021,3
October,Qtr 4,2021,1
November,Qtr 4,2021,0
December,Qtr 4,2021,9
January,Qtr 1,2022,3
February,Qtr 1,2022,4
March,Qtr 1,2022,0
April,Qtr 2,2022,5
May,Qtr 2,2022,6
June,Qtr 2,2022,6
July,Qtr 3,2022,3
August,Qtr 3,2022,65977.92
September,Qtr 3,2022,12125.25
October,Qtr 4,2022,17041.05
November,Qtr 4,2022,782549.45
December,Qtr 4,2022,751604.37
January,Qtr 1,2023,901711.9107
February,Qtr 1,2023,321529.39
March,Qtr 1,2023,552225
April,Qtr 2,2023,578280.13
May,Qtr 2,2023,654705.6
June,Qtr 2,2023,247362.8
July,Qtr 3,2023,353520.6
August,Qtr 3,2023,856897.3
September,Qtr 3,2023,128338.4
October,Qtr 4,2023,882159.9
November,Qtr 4,2023,898338.6
December,Qtr 4,2023,214762.3
January,Qtr 1,2024,294343.7
February,Qtr 1,2024,119600
March,Qtr 1,2024,376508.6
April,Qtr 2,2024,434005.4
May,Qtr 2,2024,589040.3
June,Qtr 2,2024,161137.3
July,Qtr 3,2024,291926.1
August,Qtr 3,2024,7477.9
September,Qtr 3,2024,514209.4
October,Qtr 4,2024,50897.9
November,Qtr 4,2024,365507.4
December,Qtr 4,2024,251842.5
January,Qtr 1,2020,2
February,Qtr 1,2020,7
March,Qtr 1,2020,9
April,Qtr 2,2020,3
May,Qtr 2,2020,3
June,Qtr 2,2020,3
July,Qtr 3,2020,0
August,Qtr 3,2020,0
September,Qtr 3,2020,1
October,Qtr 4,2020,9
November,Qtr 4,2020,5
December,Qtr 4,2020,4
January,Qtr 1,2021,1
February,Qtr 1,2021,2
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,4
June,Qtr 2,2021,2
July,Qtr 3,2021,1
August,Qtr 3,2021,4
September,Qtr 3,2021,9
October,Qtr 4,2021,8
November,Qtr 4,2021,6
December,Qtr 4,2021,2
January,Qtr 1,2022,0
February,Qtr 1,2022,7868.25
March,Qtr 1,2022,6987.36
April,Qtr 2,2022,8676.94
May,Qtr 2,2022,6523.75
June,Qtr 2,2022,2357.08
July,Qtr 3,2022,8392.94
August,Qtr 3,2022,2829.02
September,Qtr 3,2022,714.86
October,Qtr 4,2022,1854.39
November,Qtr 4,2022,4848.61
December,Qtr 4,2022,2135.04
January,Qtr 1,2023,7645.39
February,Qtr 1,2023,3819.5
March,Qtr 1,2023,2028.88
April,Qtr 2,2023,9848.84
May,Qtr 2,2023,8289.23
June,Qtr 2,2023,4259.53
July,Qtr 3,2023,8400.5
August,Qtr 3,2023,4567.7
September,Qtr 3,2023,8471.32
October,Qtr 4,2023,9784.27
November,Qtr 4,2023,209.42
December,Qtr 4,2023,3774.85
January,Qtr 1,2024,5248.59
February,Qtr 1,2024,8752.73
March,Qtr 1,2024,2544.25
April,Qtr 2,2024,4251.52
May,Qtr 2,2024,9189.06
June,Qtr 2,2024,8835.28
July,Qtr 3,2024,1583.18
August,Qtr 3,2024,1858.01
September,Qtr 3,2024,8989.16
October,Qtr 4,2024,8865.62
November,Qtr 4,2024,9896.45
December,Qtr 4,2024,2623.14
January,Qtr 1,2020,9
February,Qtr 1,2020,2
March,Qtr 1,2020,1
April,Qtr 2,2020,8
May,Qtr 2,2020,0
June,Qtr 2,2020,9
July,Qtr 3,2020,6
August,Qtr 3,2020,8
September,Qtr 3,2020,4
October,Qtr 4,2020,3
November,Qtr 4,2020,8
December,Qtr 4,2020,7
January,Qtr 1,2021,6
February,Qtr 1,2021,4
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,4
June,Qtr 2,2021,8
July,Qtr 3,2021,2
August,Qtr 3,2021,2
September,Qtr 3,2021,3
October,Qtr 4,2021,3
November,Qtr 4,2021,5
December,Qtr 4,2021,1
January,Qtr 1,2022,8
February,Qtr 1,2022,1
March,Qtr 1,2022,4
April,Qtr 2,2022,0
May,Qtr 2,2022,2
June,Qtr 2,2022,4
July,Qtr 3,2022,7
August,Qtr 3,2022,30245
September,Qtr 3,2022,72637
October,Qtr 4,2022,61532
November,Qtr 4,2022,26476
December,Qtr 4,2022,64925
January,Qtr 1,2023,70740
February,Qtr 1,2023,58045
March,Qtr 1,2023,30446
April,Qtr 2,2023,45041
May,Qtr 2,2023,31369
June,Qtr 2,2023,5342
July,Qtr 3,2023,14399
August,Qtr 3,2023,49838
September,Qtr 3,2023,99551
October,Qtr 4,2023,69096
November,Qtr 4,2023,91335
December,Qtr 4,2023,8378
January,Qtr 1,2024,72889
February,Qtr 1,2024,84266.19
March,Qtr 1,2024,83096.76
April,Qtr 2,2024,51838.74
May,Qtr 2,2024,20369.08
June,Qtr 2,2024,65717.96
July,Qtr 3,2024,50660.55
August,Qtr 3,2024,74268.58
September,Qtr 3,2024,44038.18
October,Qtr 4,2024,22192.11
November,Qtr 4,2024,3471.48
December,Qtr 4,2024,54405.41
January,Qtr 1,2020,4
February,Qtr 1,2020,5
March,Qtr 1,2020,2
April,Qtr 2,2020,0
May,Qtr 2,2020,2
June,Qtr 2,2020,7
July,Qtr 3,2020,5
August,Qtr 3,2020,0
September,Qtr 3,2020,8
October,Qtr 4,2020,6
November,Qtr 4,2020,8
December,Qtr 4,2020,0
January,Qtr 1,2021,2
February,Qtr 1,2021,6
March,Qtr 1,2021,4
April,Qtr 2,2021,7
May,Qtr 2,2021,0
June,Qtr 2,2021,8
July,Qtr 3,2021,2
August,Qtr 3,2021,3
September,Qtr 3,2021,0
October,Qtr 4,2021,7
November,Qtr 4,2021,0
December,Qtr 4,2021,6
January,Qtr 1,2022,6
February,Qtr 1,2022,94741.35
March,Qtr 1,2022,41422.19
April,Qtr 2,2022,4852.67
May,Qtr 2,2022,35476.36
June,Qtr 2,2022,77901.77
July,Qtr 3,2022,494977.06
August,Qtr 3,2022,557373.29
September,Qtr 3,2022,4933998.98
October,Qtr 4,2022,7996903.07
November,Qtr 4,2022,9258156.25
December,Qtr 4,2022,3007132.18
January,Qtr 1,2023,3709008.48
February,Qtr 1,2023,161200.68
March,Qtr 1,2023,4661177.15
April,Qtr 2,2023,7494464.9
May,Qtr 2,2023,7531829.35
June,Qtr 2,2023,4717931.17
July,Qtr 3,2023,1194812.07
August,Qtr 3,2023,6134788.07
September,Qtr 3,2023,8380143.18
October,Qtr 4,2023,6015257.1
November,Qtr 4,2023,8385739.57
December,Qtr 4,2023,660787.8
January,Qtr 1,2024,2215285.4
February,Qtr 1,2024,8178627.7
March,Qtr 1,2024,8082368.26
April,Qtr 2,2024,8312928.64
May,Qtr 2,2024,4760525.81
June,Qtr 2,2024,6998551.5
July,Qtr 3,2024,7339241.96
August,Qtr 3,2024,5644505.5
September,Qtr 3,2024,9390943.09
October,Qtr 4,2024,6998741.56
November,Qtr 4,2024,3551063.79
December,Qtr 4,2024,6511383.22
January,Qtr 1,2020,9
February,Qtr 1,2020,0
March,Qtr 1,2020,4
April,Qtr 2,2020,6
May,Qtr 2,2020,8
June,Qtr 2,2020,4
July,Qtr 3,2020,7
August,Qtr 3,2020,0
September,Qtr 3,2020,8
October,Qtr 4,2020,3
November,Qtr 4,2020,8
December,Qtr 4,2020,8
January,Qtr 1,2021,8
February,Qtr 1,2021,0
March,Qtr 1,2021,5
April,Qtr 2,2021,1
May,Qtr 2,2021,0
June,Qtr 2,2021,3
July,Qtr 3,2021,6
August,Qtr 3,2021,9
September,Qtr 3,2021,7
October,Qtr 4,2021,2
November,Qtr 4,2021,1
December,Qtr 4,2021,4
January,Qtr 1,2022,58892.04
February,Qtr 1,2022,75060.97
March,Qtr 1,2022,46784.37
April,Qtr 2,2022,38991.65
May,Qtr 2,2022,65849.01
June,Qtr 2,2022,24047.48
July,Qtr 3,2022,6150.09
August,Qtr 3,2022,95256.6
September,Qtr 3,2022,90839.5
October,Qtr 4,2022,38985.44
November,Qtr 4,2022,993878.95
December,Qtr 4,2022,529543.35
January,Qtr 1,2023,810692.69
February,Qtr 1,2023,92467.51
March,Qtr 1,2023,637723.38
April,Qtr 2,2023,484443.91
May,Qtr 2,2023,115263.87
June,Qtr 2,2023,341121.51
July,Qtr 3,2023,452129.17
August,Qtr 3,2023,504981.51
September,Qtr 3,2023,667923.44
October,Qtr 4,2023,685027.01
November,Qtr 4,2023,709365.85
December,Qtr 4,2023,394780.1
January,Qtr 1,2024,809960.25
February,Qtr 1,2024,818010.1
March,Qtr 1,2024,275848.22
April,Qtr 2,2024,56724.52
May,Qtr 2,2024,656550.8
June,Qtr 2,2024,248029.52
July,Qtr 3,2024,247166.43
August,Qtr 3,2024,587491.15
September,Qtr 3,2024,820245.02
October,Qtr 4,2024,419328.88
November,Qtr 4,2024,764940.72
December,Qtr 4,2024,290715.4
January,Qtr 1,2020,5
February,Qtr 1,2020,9
March,Qtr 1,2020,8
April,Qtr 2,2020,7
May,Qtr 2,2020,7
June,Qtr 2,2020,8
July,Qtr 3,2020,2
August,Qtr 3,2020,4
September,Qtr 3,2020,3
October,Qtr 4,2020,4
November,Qtr 4,2020,4
December,Qtr 4,2020,2
January,Qtr 1,2021,7
February,Qtr 1,2021,4
March,Qtr 1,2021,3
April,Qtr 2,2021,3
May,Qtr 2,2021,8
June,Qtr 2,2021,9
July,Qtr 3,2021,0
August,Qtr 3,2021,8
September,Qtr 3,2021,8
October,Qtr 4,2021,4
November,Qtr 4,2021,6
December,Qtr 4,2021,3
January,Qtr 1,2022,0
February,Qtr 1,2022,3
March,Qtr 1,2022,9
April,Qtr 2,2022,7
May,Qtr 2,2022,9
June,Qtr 2,2022,0
July,Qtr 3,2022,249645.34
August,Qtr 3,2022,662626.29
September,Qtr 3,2022,419327.43
October,Qtr 4,2022,131598.98
November,Qtr 4,2022,886532.1
December,Qtr 4,2022,433591.4
January,Qtr 1,2023,333302.3
February,Qtr 1,2023,621470.1
March,Qtr 1,2023,101702.1
April,Qtr 2,2023,13025.2
May,Qtr 2,2023,637078.93
June,Qtr 2,2023,277026.07
July,Qtr 3,2023,27141.26
August,Qtr 3,2023,222362.23
September,Qtr 3,2023,316229.39
October,Qtr 4,2023,86275.47
November,Qtr 4,2023,813366.05
December,Qtr 4,2023,22247.42
January,Qtr 1,2024,5164428.08
February,Qtr 1,2024,8564168.98
March,Qtr 1,2024,579313.31
April,Qtr 2,2024,3822860.36
May,Qtr 2,2024,11368.99
June,Qtr 2,2024,8664413.57
July,Qtr 3,2024,9690944.1
August,Qtr 3,2024,7009602.61
September,Qtr 3,2024,3066620.84
October,Qtr 4,2024,3033522.76
November,Qtr 4,2024,4319933.43
December,Qtr 4,2024,8138565.89
January,Qtr 1,2020,7
February,Qtr 1,2020,3
March,Qtr 1,2020,9
April,Qtr 2,2020,7
May,Qtr 2,2020,3
June,Qtr 2,2020,8
July,Qtr 3,2020,4
August,Qtr 3,2020,4
September,Qtr 3,2020,0
October,Qtr 4,2020,7
November,Qtr 4,2020,3
December,Qtr 4,2020,0
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,5
April,Qtr 2,2021,3
May,Qtr 2,2021,8
June,Qtr 2,2021,1
July,Qtr 3,2021,6
August,Qtr 3,2021,5
September,Qtr 3,2021,5
October,Qtr 4,2021,6
November,Qtr 4,2021,5
December,Qtr 4,2021,2
January,Qtr 1,2022,2
February,Qtr 1,2022,3
March,Qtr 1,2022,5
April,Qtr 2,2022,9
May,Qtr 2,2022,8
June,Qtr 2,2022,558
July,Qtr 3,2022,1690.81
August,Qtr 3,2022,75197.73
September,Qtr 3,2022,923457.8
October,Qtr 4,2022,648748.73
November,Qtr 4,2022,644655.27
December,Qtr 4,2022,991221.98
January,Qtr 1,2023,271145.6
February,Qtr 1,2023,137140.12
March,Qtr 1,2023,680967.81
April,Qtr 2,2023,464482.83
May,Qtr 2,2023,513966.97
June,Qtr 2,2023,344754.34
July,Qtr 3,2023,980636.61
August,Qtr 3,2023,264567.33
September,Qtr 3,2023,268463.87
October,Qtr 4,2023,201240.09
November,Qtr 4,2023,830676.46
December,Qtr 4,2023,162305.78
January,Qtr 1,2024,926027.3
February,Qtr 1,2024,66274.64
March,Qtr 1,2024,130318.07
April,Qtr 2,2024,736404.66
May,Qtr 2,2024,602869.09
June,Qtr 2,2024,647734.31
July,Qtr 3,2024,297518.87
August,Qtr 3,2024,786341.25
